Siège;Adresse (Siège);Code Postal (Siège);Nom (Etab1);Adresse (Etab1);Code Postal (Etab1);Nom (Etab2);Adresse (Etab2);Code Postal (Etab2);Nom (Etab3);Adresse (Etab3);Code Postal (Etab3);Nom (Etab4);Adresse (Etab4);Code Postal (Etab4);Nom (Etab5);Adresse (Etab5);Code Postal (Etab5);Nom (Etab6);Adresse (Etab6);Code Postal (Etab6)
BECTON DICKINSON FRANCE;11 RUE ARISTIDE BERGES;38800;BECTON DICKINSON FRANCE;56 RUE D ARCUEIL;94150;BECTON DICKINSON FRANCE;3 CHE DE LA PLAINE;38640;BECTON DICKINSON FRANCE;CHANTECAILLE;7340;BECTON DICKINSON FRANCE;6 RUE DE LA COUTURE;94150;BECTON DICKINSON FRANCE;5 PL B PALISSY;38320;BECTON DICKINSON FRANCE;8 THIMONNIER;38320
BECTON DICKINSON FRANCE;11 RUE ARISTIDE BERGES;38800;BECTON DICKINSON FRANCE;56 RUE D ARCUEIL;94150;BECTON DICKINSON FRANCE;3 CHE DE LA PLAINE;38640;BECTON DICKINSON FRANCE;CHANTECAILLE;7340;BECTON DICKINSON FRANCE;6 RUE DE LA COUTURE;94150;BECTON DICKINSON FRANCE;5 PL B PALISSY;38320;BECTON DICKINSON FRANCE;8 THIMONNIER;38320
BECTON DICKINSON FRANCE;11 RUE ARISTIDE BERGES;38800;BECTON DICKINSON FRANCE;56 RUE D ARCUEIL;94150;BECTON DICKINSON FRANCE;3 CHE DE LA PLAINE;38640;BECTON DICKINSON FRANCE;CHANTECAILLE;7340;BECTON DICKINSON FRANCE;6 RUE DE LA COUTURE;94150;BECTON DICKINSON FRANCE;5 PL B PALISSY;38320;BECTON DICKINSON FRANCE;8 THIMONNIER;38320
BERNAS MEDICAL;55 RUE STEPHENSON;75018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BERNAS MEDICAL;55 RUE STEPHENSON;75018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BERNAS MEDICAL;55 RUE STEPHENSON;75018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BERNAS MEDICAL;55 RUE STEPHENSON;75018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BIOSENSORS FRANCE;88 AV DU GENERAL LECLERC;92100;BIOSENSORS FRANCE;160 RUE DE PARIS;92100;BIOSENSORS FRANCE;86 RUE DU DOME;92100;BIOSENSORS FRANCE;4 AV MARECHAL LECLERC;71700;0;0;0;0;0;0;0;0;0
BIOSENSORS FRANCE;88 AV DU GENERAL LECLERC;92100;BIOSENSORS FRANCE;160 RUE DE PARIS;92100;BIOSENSORS FRANCE;86 RUE DU DOME;92100;BIOSENSORS FRANCE;4 AV MARECHAL LECLERC;71700;0;0;0;0;0;0;0;0;0
BIOSENSORS FRANCE;88 AV DU GENERAL LECLERC;92100;BIOSENSORS FRANCE;160 RUE DE PARIS;92100;BIOSENSORS FRANCE;86 RUE DU DOME;92100;BIOSENSORS FRANCE;4 AV MARECHAL LECLERC;71700;0;0;0;0;0;0;0;0;0
BIOSENSORS FRANCE;88 AV DU GENERAL LECLERC;92100;BIOSENSORS FRANCE;160 RUE DE PARIS;92100;BIOSENSORS FRANCE;86 RUE DU DOME;92100;BIOSENSORS FRANCE;4 AV MARECHAL LECLERC;71700;0;0;0;0;0;0;0;0;0
BIOSENSORS FRANCE;88 AV DU GENERAL LECLERC;92100;BIOSENSORS FRANCE;160 RUE DE PARIS;92100;BIOSENSORS FRANCE;86 RUE DU DOME;92100;BIOSENSORS FRANCE;4 AV MARECHAL LECLERC;71700;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOEHRINGER INGELHEIM FRANCE;14 RUE JEAN ANTOINE DE BAIF;75013;BOEHRINGER INGELHEIM FRANCE;4 RUE PIERRE HADOT;51100;BOEHRINGER-INGELHEIM FRANCE;29 AV TONY GARNIER;69007;BOEHRINGER INGELHEIM FRANCE;12 RUE ANDRE HUET;51100;MERIAL;ALL DE LA GRANDE EGALONNE;35740;BOEHRINGER INGELHEIM FRANCE;37 RUE BOISSIERE;75116;BOEHRINGER INGELHEIM FRANCE;8 RUE JACQUES DE VAUCANSON;60200
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOEHRINGER INGELHEIM FRANCE;14 RUE JEAN ANTOINE DE BAIF;75013;BOEHRINGER INGELHEIM FRANCE;4 RUE PIERRE HADOT;51100;BOEHRINGER-INGELHEIM FRANCE;29 AV TONY GARNIER;69007;BOEHRINGER INGELHEIM FRANCE;12 RUE ANDRE HUET;51100;MERIAL;ALL DE LA GRANDE EGALONNE;35740;BOEHRINGER INGELHEIM FRANCE;37 RUE BOISSIERE;75116;BOEHRINGER INGELHEIM FRANCE;8 RUE JACQUES DE VAUCANSON;60200
BOEHRINGER INGELHEIM FRANCE;14 RUE JEAN ANTOINE DE BAIF;75013;BOEHRINGER INGELHEIM FRANCE;4 RUE PIERRE HADOT;51100;BOEHRINGER-INGELHEIM FRANCE;29 AV TONY GARNIER;69007;BOEHRINGER INGELHEIM FRANCE;12 RUE ANDRE HUET;51100;MERIAL;ALL DE LA GRANDE EGALONNE;35740;BOEHRINGER INGELHEIM FRANCE;37 RUE BOISSIERE;75116;BOEHRINGER INGELHEIM FRANCE;8 RUE JACQUES DE VAUCANSON;60200
BOSTON SCIENTIFIC;2 RUE RENE CAUDRON;78960;BOSTON SCIENTIFIC;VC ZONE INDUSTRIELLE;95380;BOSTON SCIENTIFIC;14 PL GEORGES POMPIDOU;78180;BOSTON SCIENTIFIC;4 AV DES TROIS PEUPLES;78180;MEADOX SURGIMED INTERNATIONAL;8 RUE JEAN PIERRE TIMBAUD;78180;BOSTON SCIENTIFIC;3 PARC BUROSPACE;91570;0;0;0
BOSTON SCIENTIFIC;2 RUE RENE CAUDRON;78960;BOSTON SCIENTIFIC;VC ZONE INDUSTRIELLE;95380;BOSTON SCIENTIFIC;14 PL GEORGES POMPIDOU;78180;BOSTON SCIENTIFIC;4 AV DES TROIS PEUPLES;78180;MEADOX SURGIMED INTERNATIONAL;8 RUE JEAN PIERRE TIMBAUD;78180;BOSTON SCIENTIFIC;3 PARC BUROSPACE;91570;0;0;0
BOSTON SCIENTIFIC;2 RUE RENE CAUDRON;78960;BOSTON SCIENTIFIC;VC ZONE INDUSTRIELLE;95380;BOSTON SCIENTIFIC;14 PL GEORGES POMPIDOU;78180;BOSTON SCIENTIFIC;4 AV DES TROIS PEUPLES;78180;MEADOX SURGIMED INTERNATIONAL;8 RUE JEAN PIERRE TIMBAUD;78180;BOSTON SCIENTIFIC;3 PARC BUROSPACE;91570;0;0;0
BOSTON SCIENTIFIC;2 RUE RENE CAUDRON;78960;BOSTON SCIENTIFIC;VC ZONE INDUSTRIELLE;95380;BOSTON SCIENTIFIC;14 PL GEORGES POMPIDOU;78180;BOSTON SCIENTIFIC;4 AV DES TROIS PEUPLES;78180;MEADOX SURGIMED INTERNATIONAL;8 RUE JEAN PIERRE TIMBAUD;78180;BOSTON SCIENTIFIC;3 PARC BUROSPACE;91570;0;0;0
BOSTON SCIENTIFIC;2 RUE RENE CAUDRON;78960;BOSTON SCIENTIFIC;VC ZONE INDUSTRIELLE;95380;BOSTON SCIENTIFIC;14 PL GEORGES POMPIDOU;78180;BOSTON SCIENTIFIC;4 AV DES TROIS PEUPLES;78180;MEADOX SURGIMED INTERNATIONAL;8 RUE JEAN PIERRE TIMBAUD;78180;BOSTON SCIENTIFIC;3 PARC BUROSPACE;91570;0;0;0
BOSTON SCIENTIFIC;2 RUE RENE CAUDRON;78960;BOSTON SCIENTIFIC;VC ZONE INDUSTRIELLE;95380;BOSTON SCIENTIFIC;14 PL GEORGES POMPIDOU;78180;BOSTON SCIENTIFIC;4 AV DES TROIS PEUPLES;78180;MEADOX SURGIMED INTERNATIONAL;8 RUE JEAN PIERRE TIMBAUD;78180;BOSTON SCIENTIFIC;3 PARC BUROSPACE;91570;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRACCO IMAGING FRANCE;7 PL COPERNIC;91080;BRACCO IMAGING FRANCE;91 RUE DU FAUBOURG SAINT HONORE;75008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRACCO IMAGING FRANCE;7 PL COPERNIC;91080;BRACCO IMAGING FRANCE;91 RUE DU FAUBOURG SAINT HONORE;75008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRISTOL MYERS SQUIBB;3 RUE JOSEPH MONIER;92500;BRISTOL MYERS SQUIBB;11 PL COQUILLAGES;97434;BRISTOL-MYERS SQUIBB;10 RES LES JARDINS DE PLAISANCE;97122;BRISTOL MYERS SQUIBB;6 PL COQUILLAGES;97434;BRISTOL MYERS SQUIBB;304 AV DOCTEUR JEAN BRU;47000;BRISTOL MYERS SQUIBB;AV DES PYRENEES;47520;BRISTOL MYERS SQUIBB;ZAC JEAN MALEZE;47480
BRISTOL MYERS SQUIBB;3 RUE JOSEPH MONIER;92500;BRISTOL MYERS SQUIBB;11 PL COQUILLAGES;97434;BRISTOL-MYERS SQUIBB;10 RES LES JARDINS DE PLAISANCE;97122;BRISTOL MYERS SQUIBB;6 PL COQUILLAGES;97434;BRISTOL MYERS SQUIBB;304 AV DOCTEUR JEAN BRU;47000;BRISTOL MYERS SQUIBB;AV DES PYRENEES;47520;BRISTOL MYERS SQUIBB;ZAC JEAN MALEZE;47480
BRISTOL MYERS SQUIBB;3 RUE JOSEPH MONIER;92500;BRISTOL MYERS SQUIBB;11 PL COQUILLAGES;97434;BRISTOL-MYERS SQUIBB;10 RES LES JARDINS DE PLAISANCE;97122;BRISTOL MYERS SQUIBB;6 PL COQUILLAGES;97434;BRISTOL MYERS SQUIBB;304 AV DOCTEUR JEAN BRU;47000;BRISTOL MYERS SQUIBB;AV DES PYRENEES;47520;BRISTOL MYERS SQUIBB;ZAC JEAN MALEZE;47480
BRISTOL MYERS SQUIBB;3 RUE JOSEPH MONIER;92500;BRISTOL MYERS SQUIBB;11 PL COQUILLAGES;97434;BRISTOL-MYERS SQUIBB;10 RES LES JARDINS DE PLAISANCE;97122;BRISTOL MYERS SQUIBB;6 PL COQUILLAGES;97434;BRISTOL MYERS SQUIBB;304 AV DOCTEUR JEAN BRU;47000;BRISTOL MYERS SQUIBB;AV DES PYRENEES;47520;BRISTOL MYERS SQUIBB;ZAC JEAN MALEZE;47480
BRISTOL MYERS SQUIBB;3 RUE JOSEPH MONIER;92500;BRISTOL MYERS SQUIBB;11 PL COQUILLAGES;97434;BRISTOL-MYERS SQUIBB;10 RES LES JARDINS DE PLAISANCE;97122;BRISTOL MYERS SQUIBB;6 PL COQUILLAGES;97434;BRISTOL MYERS SQUIBB;304 AV DOCTEUR JEAN BRU;47000;BRISTOL MYERS SQUIBB;AV DES PYRENEES;47520;BRISTOL MYERS SQUIBB;ZAC JEAN MALEZE;47480
BRISTOL MYERS SQUIBB;3 RUE JOSEPH MONIER;92500;BRISTOL MYERS SQUIBB;11 PL COQUILLAGES;97434;BRISTOL-MYERS SQUIBB;10 RES LES JARDINS DE PLAISANCE;97122;BRISTOL MYERS SQUIBB;6 PL COQUILLAGES;97434;BRISTOL MYERS SQUIBB;304 AV DOCTEUR JEAN BRU;47000;BRISTOL MYERS SQUIBB;AV DES PYRENEES;47520;BRISTOL MYERS SQUIBB;ZAC JEAN MALEZE;47480
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BSN-RADIANTE SAS;57 BD DEMORIEUX;72100;BSN-RADIANTE SAS;RUE D ARSONVAL;86100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BSN-RADIANTE SAS;57 BD DEMORIEUX;72100;BSN-RADIANTE SAS;RUE D ARSONVAL;86100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BSN-RADIANTE SAS;57 BD DEMORIEUX;72100;BSN-RADIANTE SAS;RUE D ARSONVAL;86100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BSN-RADIANTE SAS;57 BD DEMORIEUX;72100;BSN-RADIANTE SAS;RUE D ARSONVAL;86100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BSN-RADIANTE SAS;57 BD DEMORIEUX;72100;BSN-RADIANTE SAS;RUE D ARSONVAL;86100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BSN-RADIANTE SAS;57 BD DEMORIEUX;72100;BSN-RADIANTE SAS;RUE D ARSONVAL;86100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BSN-RADIANTE SAS;57 BD DEMORIEUX;72100;BSN-RADIANTE SAS;RUE D ARSONVAL;86100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAMFIL;77 BD DE LA REPUBLIQUE;92250;CAMFIL;1 RUE DU GOLF;33700;CAMFIL;2 RUE LE CORBUSIER;13090;CAMFIL;RTE D AVRIGNY;60700;CAMFIL;10 RUE DE LA JOHARDIERE;44800;CAMFIL;47 RUE BENOIT BENNIER;69260;CAMFIL;RUE LOUIS THEBAULT;94370
CAMFIL;77 BD DE LA REPUBLIQUE;92250;CAMFIL;1 RUE DU GOLF;33700;CAMFIL;2 RUE LE CORBUSIER;13090;CAMFIL;RTE D AVRIGNY;60700;CAMFIL;10 RUE DE LA JOHARDIERE;44800;CAMFIL;47 RUE BENOIT BENNIER;69260;CAMFIL;RUE LOUIS THEBAULT;94370
CAMFIL;77 BD DE LA REPUBLIQUE;92250;CAMFIL;1 RUE DU GOLF;33700;CAMFIL;2 RUE LE CORBUSIER;13090;CAMFIL;RTE D AVRIGNY;60700;CAMFIL;10 RUE DE LA JOHARDIERE;44800;CAMFIL;47 RUE BENOIT BENNIER;69260;CAMFIL;RUE LOUIS THEBAULT;94370
CAMFIL;77 BD DE LA REPUBLIQUE;92250;CAMFIL;1 RUE DU GOLF;33700;CAMFIL;2 RUE LE CORBUSIER;13090;CAMFIL;RTE D AVRIGNY;60700;CAMFIL;10 RUE DE LA JOHARDIERE;44800;CAMFIL;47 RUE BENOIT BENNIER;69260;CAMFIL;RUE LOUIS THEBAULT;94370
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CARDINAL HEALTH FRANCE 506;43 RUE CAMILLE DESMOULINS;92130;CARDINAL HEALTH FRANCE 506;1 RUE CAMILLE DESMOULINS;92130;CARDINAL HEALTH FRANCE 506;52 RUE DE LA VICTOIRE;75009;0;0;0;0;0;0;0;0;0;0;0;0
CARDINAL HEALTH FRANCE 506;43 RUE CAMILLE DESMOULINS;92130;CARDINAL HEALTH FRANCE 506;1 RUE CAMILLE DESMOULINS;92130;CARDINAL HEALTH FRANCE 506;52 RUE DE LA VICTOIRE;75009;0;0;0;0;0;0;0;0;0;0;0;0
CARDINAL HEALTH FRANCE 506;43 RUE CAMILLE DESMOULINS;92130;CARDINAL HEALTH FRANCE 506;1 RUE CAMILLE DESMOULINS;92130;CARDINAL HEALTH FRANCE 506;52 RUE DE LA VICTOIRE;75009;0;0;0;0;0;0;0;0;0;0;0;0
CARDINAL HEALTH FRANCE 506;43 RUE CAMILLE DESMOULINS;92130;CARDINAL HEALTH FRANCE 506;1 RUE CAMILLE DESMOULINS;92130;CARDINAL HEALTH FRANCE 506;52 RUE DE LA VICTOIRE;75009;0;0;0;0;0;0;0;0;0;0;0;0
CARDINAL HEALTH FRANCE 506;43 RUE CAMILLE DESMOULINS;92130;CARDINAL HEALTH FRANCE 506;1 RUE CAMILLE DESMOULINS;92130;CARDINAL HEALTH FRANCE 506;52 RUE DE LA VICTOIRE;75009;0;0;0;0;0;0;0;0;0;0;0;0
CARL ZEISS;100 RTE DE VERSAILLES;78160;CARL ZEISS;42 RUE D AUBIGNY;69003;CARL ZEISS;RUE DE LA REPUBLIQUE;13400;CARL ZEISS;27 RUE DES PEUPLIERS;92000;CARL ZEISS;5 RUE DE LA DURANCE;67100;CARL ZEISS;60 RTE DE SARTROUVILLE;78230;CARL ZEISS;TRA DE L HUVEAUNE;13821
CARL ZEISS MEDITEC FRANCE;100 RTE DE VERSAILLES;78160;CARL ZEISS MEDITEC FRANCE;27 AV PAUL LANGEVIN;17180;CARL ZEISS MEDITEC FRANCE;60 RTE DE SARTROUVILLE;78230;CARL ZEISS MEDITEC FRANCE;RUE LA DESIREE;17000;0;0;0;0;0;0;0;0;0
CARL ZEISS MEDITEC FRANCE;100 RTE DE VERSAILLES;78160;CARL ZEISS MEDITEC FRANCE;27 AV PAUL LANGEVIN;17180;CARL ZEISS MEDITEC FRANCE;60 RTE DE SARTROUVILLE;78230;CARL ZEISS MEDITEC FRANCE;RUE LA DESIREE;17000;0;0;0;0;0;0;0;0;0
CARL ZEISS MEDITEC SAS;27 AV PAUL LANGEVIN;17180;CARL ZEISS MEDITEC SAS;RUE LA DESIREE;17000;CARL ZEISS MEDITEC SAS;AV JOLIOT CURIE;17180;0;0;0;0;0;0;0;0;0;0;0;0
CABINET BEHENE CONSULTANT;4 ALL DES GARAYS;91120;CABINET BEHENE CONSULTANT;RUE LOUIS PASTEUR;34790;CABINET BEHENE CONSULTANT;73 RUE LEON BOURGEOIS;91120;CABINET BEHENE CONSULTANT;ZA DES CLOTAIS N°18;91160;CABINET BEHENE CONSULTANT;2 AV DU REGIMENT NORMANDIE NIEMEN;91700;0;0;0;0;0;0
CABINET BEHENE CONSULTANT;4 ALL DES GARAYS;91120;CABINET BEHENE CONSULTANT;RUE LOUIS PASTEUR;34790;CABINET BEHENE CONSULTANT;73 RUE LEON BOURGEOIS;91120;CABINET BEHENE CONSULTANT;ZA DES CLOTAIS N°18;91160;CABINET BEHENE CONSULTANT;2 AV DU REGIMENT NORMANDIE NIEMEN;91700;0;0;0;0;0;0
MAIRIE;PL D ARMES;59300;PROJETS RENOVATION URBAINE;PL D ARMES;59300;ECOLE MATERNELLE HELENE BOUCHER;RUE DE LA TARGETTE;59300;ECOLE MATERNELLE LOUISE WEISS;RUE JEAN BAPTISTE COROT;59300;ECOLE MATERNELLE PUBLIQUE;9 RUE MATHIEU DE QUINVIGNIES;59300;ECOLE MATERNELLE GERMAINE COTY;RUE DES GLACIS;59300;ECOLE PRIMAIRE PLAINE DE MONS;2 RUE DU CHAMP DE MANOEUVRES;59300
MAIRIE;PL D ARMES;59300;PROJETS RENOVATION URBAINE;PL D ARMES;59300;ECOLE MATERNELLE HELENE BOUCHER;RUE DE LA TARGETTE;59300;ECOLE MATERNELLE LOUISE WEISS;RUE JEAN BAPTISTE COROT;59300;ECOLE MATERNELLE PUBLIQUE;9 RUE MATHIEU DE QUINVIGNIES;59300;ECOLE MATERNELLE GERMAINE COTY;RUE DES GLACIS;59300;ECOLE PRIMAIRE PLAINE DE MONS;2 RUE DU CHAMP DE MANOEUVRES;59300
ASTERA;41 RUE DES AUGUSTINS;76000;ASTERA;3 RUE DE L EGALITE;59600;ASTERA;600 RUE DES MADELEINES;77100;ASTERA;RTE DE PESSAC;33170;ASTERA;8 RUE DE TICLENI;59650;ASTERA;3 AV GALILEE;92350;ASTERA;RUE NICOLAS APPERT;87280
ASTERA;41 RUE DES AUGUSTINS;76000;ASTERA;3 RUE DE L EGALITE;59600;ASTERA;600 RUE DES MADELEINES;77100;ASTERA;RTE DE PESSAC;33170;ASTERA;8 RUE DE TICLENI;59650;ASTERA;3 AV GALILEE;92350;ASTERA;RUE NICOLAS APPERT;87280
ASTERA;41 RUE DES AUGUSTINS;76000;ASTERA;3 RUE DE L EGALITE;59600;ASTERA;600 RUE DES MADELEINES;77100;ASTERA;RTE DE PESSAC;33170;ASTERA;8 RUE DE TICLENI;59650;ASTERA;3 AV GALILEE;92350;ASTERA;RUE NICOLAS APPERT;87280
LABORATOIRES CHAIX ET DU MARAIS;7 RUE PASQUIER;75008;LABORATOIRES CHAIX ET DU MARAIS;2 ALL HENRI HUGON;41260;LABORATOIRES CHAIX ET DU MARAIS;7 RUE LABIE;75017;CDM LAVOISIER;10 RUE DE LA CROIX FAUBIN;75011;0;0;0;0;0;0;0;0;0
LABORATOIRES CHAIX ET DU MARAIS;7 RUE PASQUIER;75008;LABORATOIRES CHAIX ET DU MARAIS;2 ALL HENRI HUGON;41260;LABORATOIRES CHAIX ET DU MARAIS;7 RUE LABIE;75017;CDM LAVOISIER;10 RUE DE LA CROIX FAUBIN;75011;0;0;0;0;0;0;0;0;0
LABORATOIRES CHAIX ET DU MARAIS;7 RUE PASQUIER;75008;LABORATOIRES CHAIX ET DU MARAIS;2 ALL HENRI HUGON;41260;LABORATOIRES CHAIX ET DU MARAIS;7 RUE LABIE;75017;CDM LAVOISIER;10 RUE DE LA CROIX FAUBIN;75011;0;0;0;0;0;0;0;0;0
LABORATOIRES CHAIX ET DU MARAIS;7 RUE PASQUIER;75008;LABORATOIRES CHAIX ET DU MARAIS;2 ALL HENRI HUGON;41260;LABORATOIRES CHAIX ET DU MARAIS;7 RUE LABIE;75017;CDM LAVOISIER;10 RUE DE LA CROIX FAUBIN;75011;0;0;0;0;0;0;0;0;0
CHEVALIER;RUE DES FAMARDS;59273;CHEVALIER;CHE DU CHOUMOIS;25870;CHEVALIER;25 RUE DU MARECHAL LEFEBVRE;67100;CHEVALIER;3 ALL DES EPICEAS;88000;CHEVALIER;12 RUE CLAUDE DEBUSSY;54140;CHEVALIER;31 RUE DE LA SEMM;68000;CHEVALIER;2 RUE DE LA CHARENTE;68270
CHEVALIER;RUE DES FAMARDS;59273;CHEVALIER;CHE DU CHOUMOIS;25870;CHEVALIER;25 RUE DU MARECHAL LEFEBVRE;67100;CHEVALIER;3 ALL DES EPICEAS;88000;CHEVALIER;12 RUE CLAUDE DEBUSSY;54140;CHEVALIER;31 RUE DE LA SEMM;68000;CHEVALIER;2 RUE DE LA CHARENTE;68270
CHRIS EYES;RUE DE BRAY;35510;CHRIS EYES;LA RIGOURDIERE;35510;CHRIS EYES;MOULIN DE DELIEUC;35750;0;0;0;0;0;0;0;0;0;0;0;0
BAXTER S.A.S;4 RUE DE LA REDOUTE;78280;BAXTER S.A.S;21 AV MAL DE LATTRE DE TASSIGNY;69330;BAXTER S.A.S;12 BD MARCEL DASSAULT;69330;BAXTER S.A.S;3 AV RUDOLF DIESEL;33700;BAXTER S.A.S;1 BD CHARLES DE GAULLE;92700;BAXTER S.A.S;6 AV LOUIS PASTEUR;78310;BAXTER S.A.S;17 RUE DE MIROMESNIL;75008
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CHRIS EYES;RUE DE BRAY;35510;CHRIS EYES;LA RIGOURDIERE;35510;CHRIS EYES;MOULIN DE DELIEUC;35750;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CHRISTEYNS FRANCE;31 RUE DE LA MALADRIE;44120;CHRISTEYNS FRANCE;9 RUE MARCEL SEMBAT;44100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
